group,model,prompt,mode,label,species,reactions,species_reduction,reaction_reduction,success,coverage,full_E,subset_E,sha256,endpoint,run,source,median,p95,max,E_change_percent,species_pareto,reactions_pareto
Kimi 普通 Team,Kimi,普通,Team,candidate_2,58,361,0.4774774774774775,0.5395408163265306,493,0.8081967213114755,,4.220938053973177,f6816daf4c7cd4fc4419e763d491a2e444131a94fc14a5142482e3a3fd94a5a5,cfx_astra_12fe63bc0f88475da6b6dc79_endpoint,baseline-v1-kimi-team-20260916T010434.254556Z-33182164,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json,2.788785128062099,13.098062655575193,30.974867189129387,,,
Kimi 普通 Team,Kimi,普通,Team,candidate_3,48,307,0.5675675675675675,0.6084183673469388,492,0.8065573770491803,,4.172316384753052,8422da6090cc6c56b1871d999762929f0b8552bfc03f19379e80f2c1774d6252,cfx_astra_12fe63bc0f88475da6b6dc79_endpoint,baseline-v1-kimi-team-20260916T010434.254556Z-33182164,evidence/cfx_astra_12fe63bc0f88475da6b6dc79_endpoint/evaluation_result.json,2.781839288642545,13.395882136443612,32.08984860815552,,,
Kimi 专家 Solo,Kimi,专家,Solo,candidate_1,86,613,0.22522522522522526,0.21811224489795922,599,0.9819672131147541,,2.6826888796277504,97167e607fd5ffb1baaeffcf329c2f2879abe48ca9c20b3619256354c2d249ff,cfx_astra_240e744073cd4af98f8d729f_endpoint,expert-v2-kimi-solo-20260916T002108.637960Z-d26b7970,evidence/cfx_astra_240e744073cd4af98f8d729f_endpoint/evaluation_result.json,1.918809478489898,7.757507477163959,17.784995020479336,,,
Kimi 专家 Solo,Kimi,专家,Solo,candidate_2,62,370,0.4414414414414415,0.528061224489796,450,0.7377049180327869,,3.4853309765070004,adb2feca6f01509b750f912d8fad0ac4cd89d910083066c5c10acf8bbe36b7cb,cfx_astra_240e744073cd4af98f8d729f_endpoint,expert-v2-kimi-solo-20260916T002108.637960Z-d26b7970,evidence/cfx_astra_240e744073cd4af98f8d729f_endpoint/evaluation_result.json,2.357877257864267,10.625344868660205,45.49078094841119,,,
Kimi 专家 Solo,Kimi,专家,Solo,candidate_3,49,290,0.5585585585585586,0.6301020408163265,377,0.6180327868852459,,3.1709368896681553,9dbc17abcffef087f646ce84d2c57d74f4d113eae588bd0f311a2953e6812d06,cfx_astra_240e744073cd4af98f8d729f_endpoint,expert-v2-kimi-solo-20260916T002108.637960Z-d26b7970,evidence/cfx_astra_240e744073cd4af98f8d729f_endpoint/evaluation_result.json,2.149653634494507,9.205957702151375,46.333048710458904,,,
Kimi 专家 Team,Kimi,专家,Team,candidate_1,80,614,0.2792792792792793,0.21683673469387754,610,1.0,2.8430463479191346,2.8430463479191346,4ad974b68a8655272cdc3de7f4e730c0df4002dd37b1b92f369e0ea7b247d319,cfx_astra_8b7403c260e04d29bdda493a_endpoint,expert-v2-kimi-team-20260916T002109.891728Z-d9881267,evidence/cfx_astra_8b7403c260e04d29bdda493a_endpoint/evaluation_result.json,1.9869224619655685,7.87210455290019,18.59173668095337,6.572587236290528,True,False
Kimi 专家 Team,Kimi,专家,Team,candidate_2,70,563,0.36936936936936937,0.2818877551020408,609,0.9983606557377049,,2.847181588083955,dad9c4a6021f8f22570f45e69754af87fedef6bd55e41fff29e0c143148193e0,cfx_astra_8b7403c260e04d29bdda493a_endpoint,expert-v2-kimi-team-20260916T002109.891728Z-d9881267,evidence/cfx_astra_8b7403c260e04d29bdda493a_endpoint/evaluation_result.json,2.0280414405910934,7.7422702456013965,19.453315310830057,,,
Kimi 专家 Team,Kimi,专家,Team,candidate_3,70,507,0.36936936936936937,0.3533163265306123,610,1.0,2.894843221285097,2.894843221285097,ddcf1f7f2644c89840c69483e6c563a4f7aceae8d9dbb38a265a29726bbc0afd,cfx_astra_8b7403c260e04d29bdda493a_endpoint,expert-v2-kimi-team-20260916T002109.891728Z-d9881267,evidence/cfx_astra_8b7403c260e04d29bdda493a_endpoint/evaluation_result.json,2.123369041239475,8.410893347430891,19.366982381312628,8.51421116000932,True,False
DeepSeek 普通 Team,DeepSeek,普通,Team,candidate_1,93,714,0.16216216216216217,0.0892857142857143,610,1.0,2.6559939785154403,2.6559939785154403,4505053b2added194e60bbdd6162f5ce4de490fe03759e370a00fea154d5c254,cfx_astra_e598e3112e8446a08ba0586d_endpoint,baseline-v1-deepseek-team-20260916T052223.858290Z-614995a1,evidence/cfx_astra_e598e3112e8446a08ba0586d_endpoint/evaluation_result.json,1.8711149207849251,7.726410294049039,19.408519596205924,-0.43913628718299513,False,False
DeepSeek 普通 Team,DeepSeek,普通,Team,candidate_2,69,522,0.3783783783783784,0.3341836734693877,591,0.9688524590163935,,3.367311606859388,1a06e8cdfbe1b7e3cc70c5716d1f0224064bba9bfd3e65358f98e12d25315e81,cfx_astra_e598e3112e8446a08ba0586d_endpoint,baseline-v1-deepseek-team-20260916T052223.858290Z-614995a1,evidence/cfx_astra_e598e3112e8446a08ba0586d_endpoint/evaluation_result.json,2.2716410175609196,11.19338582361074,40.70725002776273,,,
DeepSeek 普通 Team,DeepSeek,普通,Team,candidate_3,63,461,0.43243243243243246,0.4119897959183674,547,0.8967213114754098,,3.1561723632197487,6564dcae49eaf13dbf7a360681f39fe7029b9ee06a6114b2ca84dfbcd3b06073,cfx_astra_e598e3112e8446a08ba0586d_endpoint,baseline-v1-deepseek-team-20260916T052223.858290Z-614995a1,evidence/cfx_astra_e598e3112e8446a08ba0586d_endpoint/evaluation_result.json,2.0148966401880632,10.782575358639958,40.30355733405063,,,
DeepSeek 专家 Solo,DeepSeek,专家,Solo,candidate_1,103,751,0.07207207207207211,0.042091836734693855,610,1.0,2.668168817598366,2.668168817598366,9eb54804a2c000ca8124baa411a26e445ffacbc1da4aaaf4892d88b5140579e7,cfx_astra_f61e625cdc7842b397ddfa9c_endpoint,expert-v2-deepseek-solo-20260916T052223.859010Z-0831cedf,evidence/cfx_astra_f61e625cdc7842b397ddfa9c_endpoint/evaluation_result.json,1.9134666841863153,7.72641029405132,17.785499605906253,0.01724181625615273,False,False
DeepSeek 专家 Solo,DeepSeek,专家,Solo,candidate_2,89,671,0.19819819819819817,0.14413265306122447,610,1.0,2.6145547634900996,2.6145547634900996,d2ab46d94218bfeb4d667de8ea4c3a3b794c666ca6dc1495b6b481cb06e200ad,cfx_astra_f61e625cdc7842b397ddfa9c_endpoint,expert-v2-deepseek-solo-20260916T052223.859010Z-0831cedf,evidence/cfx_astra_f61e625cdc7842b397ddfa9c_endpoint/evaluation_result.json,1.8502007848788034,7.726410294048272,17.784995020479336,-1.992499763485045,True,True
DeepSeek 专家 Solo,DeepSeek,专家,Solo,candidate_3,68,473,0.3873873873873874,0.3966836734693877,550,0.9016393442622951,,3.223672940602105,f2f9e4a7e03bb4e14b93199b41528469a08d5faf66fadff526ab285160ed712a,cfx_astra_f61e625cdc7842b397ddfa9c_endpoint,expert-v2-deepseek-solo-20260916T052223.859010Z-0831cedf,evidence/cfx_astra_f61e625cdc7842b397ddfa9c_endpoint/evaluation_result.json,2.1626706259840445,11.03606048066326,25.456162724395973,,,
